Package,LibPath,Version,Priority,Built
leaflet,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.0.3,NA,3.6.0
leaflet.providers,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.9.0,NA,3.6.0
LearnBayes,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.15.1,NA,3.6.0
learnr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.10.1,NA,3.6.0
lifecycle,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2.0,NA,3.6.0
lineprof,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1.9001,NA,3.6.3
lme4,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1-23,NA,3.6.2
lmom,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.8,NA,3.6.0
loo,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.3.1,NA,3.6.2
lubridate,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.7.9,NA,3.6.2
magick,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.4.0,NA,3.6.2
magrittr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.0.1,NA,3.6.2
manipulateWidget,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.10.1,NA,3.6.0
maps,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.3.0,NA,3.6.0
maptools,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0-2,NA,3.6.2
markdown,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1,NA,3.6.0
MASS,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,7.3-52,recommended,3.6.2
Matrix,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.2-18,recommended,3.6.3
matrixcalc,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0-3,NA,3.6.0
MatrixModels,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.4-1,NA,3.6.0
matrixStats,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.56.0,NA,3.6.0
mc2d,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1-18,NA,3.6.0
mclust,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,5.4.6,NA,3.6.2
mcmc,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.9-7,NA,3.6.0
MCMCpack,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4-9,NA,3.6.2
mcsm,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0,NA,3.6.0
memoise,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.0,NA,3.6.0
methods,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.3,base,3.6.3
metRology,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.9-28-1,NA,3.6.0
mgcv,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.8-31,recommended,3.6.3
microbenchmark,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4-7,NA,3.6.0
mime,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.9,NA,3.6.0
miniUI,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1.1.1,NA,3.6.0
minqa,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.2.4,NA,3.6.0
misc3d,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.8-4,NA,3.6.0
mnormt,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.5-6,NA,3.6.0
ModelMetrics,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.2.2.2,NA,3.6.0
modelr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1.8,NA,3.6.2
moments,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.14,NA,3.6.0
monreg,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1.4,NA,3.6.2
msm,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.6.8,NA,3.6.0
multcomp,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4-14,NA,3.6.2
multcompView,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1-8,NA,3.6.0
munsell,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.5.0,NA,3.6.0
mvnfast,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2.5,NA,3.6.0
mvtnorm,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1-1,NA,3.6.2
nCDunnett,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.0,NA,3.6.0
ncvreg,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.12.0,NA,3.6.2
neuRosim,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2-12,NA,3.6.0
nlme,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.1-149,recommended,3.6.2
nloptr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.2.2.2,NA,3.6.2
nnet,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,7.3-14,recommended,3.6.2
nortest,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0-4,NA,3.6.0
np,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.60-10,NA,3.6.0
numDeriv,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2016.8-1.1,NA,3.6.0
onewaytests,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.4,NA,3.6.0
openintro,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.0.0,NA,3.6.2
openssl,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4.2,NA,3.6.2
